Index,Raman_Shift,Intensity,Plastic_type
1,102.528,1.54655,Green_Yarn
2,105.558,29.872,Green_Yarn
3,108.585,54.0623,Green_Yarn
4,111.611,61.0151,Green_Yarn
5,114.636,47.6019,Green_Yarn
6,117.66,24.0919,Green_Yarn
7,120.681,5.99154,Green_Yarn
8,123.702,1.01348,Green_Yarn
9,126.721,8.06629,Green_Yarn
10,129.737,12.2355,Green_Yarn
11,132.753,7.38091,Green_Yarn
12,135.768,-0.63611,Green_Yarn
13,138.781,-2.90971,Green_Yarn
14,141.792,1.877,Green_Yarn
15,144.802,6.50067,Green_Yarn
16,147.811,5.06605,Green_Yarn
17,150.818,1.86172,Green_Yarn
18,153.824,7.85839,Green_Yarn
19,156.828,27.588,Green_Yarn
20,159.831,51.0317,Green_Yarn
21,162.832,60.7739,Green_Yarn
22,165.832,48.1953,Green_Yarn
23,168.83,22.0653,Green_Yarn
24,171.827,0.270085,Green_Yarn
25,174.822,-6.35704,Green_Yarn
26,177.816,-1.1648,Green_Yarn
27,180.809,4.8589,Green_Yarn
28,183.8,7.81611,Green_Yarn
29,186.79,14.5212,Green_Yarn
30,189.778,33.0674,Green_Yarn
31,192.764,60.9352,Green_Yarn
32,195.75,84.9195,Green_Yarn
33,198.734,92.4692,Green_Yarn
34,201.716,82.8569,Green_Yarn
35,204.697,67.1676,Green_Yarn
36,207.676,58.1723,Green_Yarn
37,210.654,60.6206,Green_Yarn
38,213.631,70.0553,Green_Yarn
39,216.606,78.5778,Green_Yarn
40,219.579,80.4732,Green_Yarn
41,222.552,73.8019,Green_Yarn
42,225.523,59.855,Green_Yarn
43,228.492,43.1599,Green_Yarn
44,231.46,30.9751,Green_Yarn
45,234.427,29.6984,Green_Yarn
46,237.391,39.4914,Green_Yarn
47,240.355,52.6389,Green_Yarn
48,243.317,59.0598,Green_Yarn
49,246.278,54.9832,Green_Yarn
50,249.237,46.4863,Green_Yarn
51,252.195,44.0929,Green_Yarn
52,255.151,53.6,Green_Yarn
53,258.107,71.9016,Green_Yarn
54,261.06,90.9106,Green_Yarn
55,264.012,104.344,Green_Yarn
56,266.963,110.377,Green_Yarn
57,269.913,109.204,Green_Yarn
58,272.86,100.516,Green_Yarn
59,275.806,84.8399,Green_Yarn
60,278.752,66.5455,Green_Yarn
61,281.695,53.3612,Green_Yarn
62,284.637,51.3064,Green_Yarn
63,287.579,59.9922,Green_Yarn
64,290.518,73.496,Green_Yarn
65,293.456,85.8826,Green_Yarn
66,296.392,95.2569,Green_Yarn
67,299.327,102.326,Green_Yarn
68,302.261,106.291,Green_Yarn
69,305.193,104.115,Green_Yarn
70,308.124,94.7266,Green_Yarn
71,311.053,82.9386,Green_Yarn
72,313.981,77.1988,Green_Yarn
73,316.908,82.1148,Green_Yarn
74,319.833,93.2968,Green_Yarn
75,322.756,100.538,Green_Yarn
76,325.679,96.8454,Green_Yarn
77,328.6,84.5017,Green_Yarn
78,331.52,72.2014,Green_Yarn
79,334.438,66.3423,Green_Yarn
80,337.355,65.2969,Green_Yarn
81,340.269,62.069,Green_Yarn
82,343.184,52.1156,Green_Yarn
83,346.096,38.2423,Green_Yarn
84,349.007,27.9442,Green_Yarn
85,351.917,26.2481,Green_Yarn
86,354.826,31.2107,Green_Yarn
87,357.732,36.1386,Green_Yarn
88,360.637,35.9575,Green_Yarn
89,363.541,31.4918,Green_Yarn
90,366.445,27.8228,Green_Yarn
91,369.346,28.6639,Green_Yarn
92,372.245,32.3721,Green_Yarn
93,375.144,33.546,Green_Yarn
94,378.041,28.7673,Green_Yarn
95,380.937,20.8553,Green_Yarn
96,383.831,17.0518,Green_Yarn
97,386.724,22.2342,Green_Yarn
98,389.615,33.4498,Green_Yarn
99,392.506,41.5025,Green_Yarn
100,395.395,38.8724,Green_Yarn
101,398.281,26.7976,Green_Yarn
102,401.167,14.5602,Green_Yarn
103,404.052,11.3251,Green_Yarn
104,406.936,18.2853,Green_Yarn
105,409.817,28.6446,Green_Yarn
106,412.698,35.0185,Green_Yarn
107,415.576,36.3224,Green_Yarn
108,418.455,37.1349,Green_Yarn
109,421.33,40.9002,Green_Yarn
110,424.206,44.9987,Green_Yarn
111,427.079,43.3383,Green_Yarn
112,429.951,33.4523,Green_Yarn
113,432.822,19.9465,Green_Yarn
114,435.691,10.3016,Green_Yarn
115,438.559,7.66467,Green_Yarn
116,441.426,8.48887,Green_Yarn
117,444.291,7.20751,Green_Yarn
118,447.155,2.28846,Green_Yarn
119,450.017,-2.99497,Green_Yarn
120,452.878,-4.00372,Green_Yarn
121,455.738,-1.70192,Green_Yarn
122,458.597,-0.130194,Green_Yarn
123,461.454,-1.32972,Green_Yarn
124,464.31,-4.80762,Green_Yarn
125,467.163,-4.16816,Green_Yarn
126,470.016,0.557698,Green_Yarn
127,472.868,4.75937,Green_Yarn
128,475.718,7.34192,Green_Yarn
129,478.567,10.4284,Green_Yarn
130,481.415,15.9856,Green_Yarn
131,484.26,21.8332,Green_Yarn
132,487.105,22.9321,Green_Yarn
133,489.949,17.5184,Green_Yarn
134,492.79,10.8045,Green_Yarn
135,495.631,10.716,Green_Yarn
136,498.471,19.4828,Green_Yarn
137,501.308,30.846,Green_Yarn
138,504.145,37.095,Green_Yarn
139,506.98,38.5319,Green_Yarn
140,509.813,43.9724,Green_Yarn
141,512.646,60.3961,Green_Yarn
142,515.477,82.8472,Green_Yarn
143,518.307,96.8539,Green_Yarn
144,521.135,92.3473,Green_Yarn
145,523.963,74.5993,Green_Yarn
146,526.789,59.7499,Green_Yarn
147,529.612,58.824,Green_Yarn
148,532.435,66.9978,Green_Yarn
149,535.258,69.546,Green_Yarn
150,538.077,57.7766,Green_Yarn
151,540.897,37.4403,Green_Yarn
152,543.714,20.9148,Green_Yarn
153,546.531,13.1772,Green_Yarn
154,549.345,8.83896,Green_Yarn
155,552.158,4.47281,Green_Yarn
156,554.971,11.3831,Green_Yarn
157,557.782,50.893,Green_Yarn
158,560.591,132.261,Green_Yarn
159,563.399,234.004,Green_Yarn
160,566.206,309.934,Green_Yarn
161,569.012,319.168,Green_Yarn
162,571.816,255.992,Green_Yarn
163,574.619,154.087,Green_Yarn
164,577.42,61.8175,Green_Yarn
165,580.221,9.84679,Green_Yarn
166,583.02,-3.23125,Green_Yarn
167,585.817,0.530799,Green_Yarn
168,588.613,1.55833,Green_Yarn
169,591.408,-2.9293,Green_Yarn
170,594.201,-2.20757,Green_Yarn
171,596.994,14.342,Green_Yarn
172,599.784,46.822,Green_Yarn
173,602.574,84.7281,Green_Yarn
174,605.362,113.764,Green_Yarn
175,608.149,123.762,Green_Yarn
176,610.935,112.718,Green_Yarn
177,613.719,86.6536,Green_Yarn
178,616.502,56.5468,Green_Yarn
179,619.283,33.4916,Green_Yarn
180,622.063,23.667,Green_Yarn
181,624.842,25.6948,Green_Yarn
182,627.62,32.4062,Green_Yarn
183,630.396,36.1837,Green_Yarn
184,633.171,34.1411,Green_Yarn
185,635.944,29.4161,Green_Yarn
186,638.717,28.0238,Green_Yarn
187,641.488,34.1341,Green_Yarn
188,644.257,47.318,Green_Yarn
189,647.026,63.1513,Green_Yarn
190,649.792,75.9862,Green_Yarn
191,652.559,81.8085,Green_Yarn
192,655.323,79.8601,Green_Yarn
193,658.086,72.6856,Green_Yarn
194,660.848,64.7271,Green_Yarn
195,663.608,59.9343,Green_Yarn
196,666.367,59.5389,Green_Yarn
197,669.125,61.5075,Green_Yarn
198,671.881,62.3069,Green_Yarn
199,674.637,59.7412,Green_Yarn
200,677.391,54.4699,Green_Yarn
201,680.143,48.84,Green_Yarn
202,682.895,44.1874,Green_Yarn
203,685.645,39.3607,Green_Yarn
204,688.393,32.1118,Green_Yarn
205,691.141,22.0661,Green_Yarn
206,693.887,12.1423,Green_Yarn
207,696.631,6.56073,Green_Yarn
208,699.375,6.9677,Green_Yarn
209,702.117,10.4146,Green_Yarn
210,704.858,11.567,Green_Yarn
211,707.598,7.44448,Green_Yarn
212,710.336,0.891803,Green_Yarn
213,713.073,-1.53902,Green_Yarn
214,715.808,4.39327,Green_Yarn
215,718.542,16.3057,Green_Yarn
216,721.276,26.132,Green_Yarn
217,724.007,26.4312,Green_Yarn
218,726.738,16.775,Green_Yarn
219,729.467,4.58568,Green_Yarn
220,732.195,-0.0891438,Green_Yarn
221,734.921,6.8143,Green_Yarn
222,737.647,21.7144,Green_Yarn
223,740.371,37.0703,Green_Yarn
224,743.094,48.0789,Green_Yarn
225,745.816,56.0089,Green_Yarn
226,748.535,65.4277,Green_Yarn
227,751.254,78.5456,Green_Yarn
228,753.971,92.4488,Green_Yarn
229,756.688,101.814,Green_Yarn
230,759.403,104.107,Green_Yarn
231,762.117,101.914,Green_Yarn
232,764.829,100.192,Green_Yarn
233,767.54,101.449,Green_Yarn
234,770.25,103.782,Green_Yarn
235,772.959,103.474,Green_Yarn
236,775.666,99.0907,Green_Yarn
237,778.372,92.7487,Green_Yarn
238,781.077,87.66,Green_Yarn
239,783.78,85.1425,Green_Yarn
240,786.483,84.5424,Green_Yarn
241,789.183,85.7659,Green_Yarn
242,791.883,90.8228,Green_Yarn
243,794.582,101.839,Green_Yarn
244,797.278,117.351,Green_Yarn
245,799.974,131.289,Green_Yarn
246,802.669,136.668,Green_Yarn
247,805.363,130.937,Green_Yarn
248,808.055,117.807,Green_Yarn
249,810.745,103.736,Green_Yarn
250,813.434,92.6837,Green_Yarn
